Panel Index,Insp Time,Panel Barcode,Board Id,Board Barcode,Comp.Name,Pin Number,Pad ID,Height,Area,Area(%),Volume,Volume(%),Offset X,Offset Y,Result
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C191,2,45,5.2409,470.1575,95.6867,2217.0378,90.2425,0.045,0.711,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C192,1,46,6.0903,1157.5916,101.7482,6388.4009,112.3035,-0.0628,-0.1762,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C192,2,47,5.674,1202.9336,105.7336,6219.011,109.3258,-0.1934,-0.3134,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C193,1,48,5.5735,1125.9434,98.9664,5732.3345,100.7704,0.0894,0.1475,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C193,2,49,5.545,1156.3743,101.6412,5861.1899,103.0356,0.7229,-0.0232,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C194,1,50,5.3508,487.8074,99.2788,2353.2949,95.7887,-0.1572,0.2517,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C194,2,51,5.3554,480.504,97.7924,2323.9053,94.5925,-0.2963,0.4556,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C195,1,52,5.397,471.0704,95.8725,2307.1083,93.9088,-0.3615,0.3295,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C195,2,53,5.2065,484.1557,98.5356,2281.885,92.8821,-0.4587,0.1233,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C196,1,54,5.1719,478.0695,97.2969,2241.7117,91.2468,-0.1351,0.3123,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C196,2,55,5.2772,476.548,96.9873,2278.557,92.7466,-0.2964,0.2026,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C197,1,56,5.4915,479.5911,97.6066,2366.1664,96.3127,-0.3104,0.4045,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C197,2,57,5.4416,467.723,95.1912,2312.1925,94.1157,-0.2247,0.3126,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C198,1,58,5.931,1153.6356,101.4005,6212.8576,109.2176,0.3195,-0.5703,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C198,2,59,5.747,1179.8062,103.7008,6172.244,108.5037,0.2261,-0.0449,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C199,1,60,5.4573,481.7212,98.0401,2374.1746,96.6386,-0.4814,0.3346,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C199,2,61,5.303,477.7652,97.235,2285.7641,93.04,-0.4558,0.3364,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C200,1,62,5.3608,477.4609,97.1731,2319.5633,94.4157,-0.1307,0.437,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C200,2,63,5.3528,484.7643,98.6595,2342.6579,95.3558,-0.3422,0.1852,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C201,1,64,5.6296,1170.3726,102.8716,5969.1549,104.9335,-0.8101,0.1257,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C201,2,65,5.4075,1167.3295,102.6041,5752.6411,101.1273,0.2579,0.0753,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C202,1,66,5.2111,474.7221,96.6157,2250.062,91.5867,-0.1419,0.1689,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C202,2,67,5.0133,478.6781,97.4208,2172.663,88.4363,-0.0585,0.1623,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C203,1,68,5.1221,2327.3555,101.3169,10899.0881,94.8941,-0.046,0.1297,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C203,2,69,5.6258,2343.1796,102.0058,11847.6929,103.1533,-0.3293,0.4153,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C204,1,70,5.0316,476.2436,96.9253,2173.651,88.4765,-0.671,0.2122,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C204,2,71,5.2139,485.3729,98.7833,2303.3632,93.7563,-0.4091,0.162,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C205,1,72,5.7795,7952.204,103.7082,42655.8813,111.2588,1.0944,-0.7731,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C205,2,73,4.2532,7729.4498,100.8031,30102.0496,78.5148,0.2036,-0.2083,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C206,1,74,5.4848,7909.6008,103.1526,40678.7184,106.1018,0.949,-0.5829,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C206,2,75,5.3795,7863.3458,102.5493,39699.6448,103.5481,0.1251,-0.7219,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C207,1,76,4.2472,2305.4453,100.3631,9147.8177,79.6465,0.2892,0.5742,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C207,2,77,4.19,2260.4075,98.4025,8817.06,76.7667,-0.5528,0.445,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C208,1,78,5.5762,2351.7003,102.3767,12105.772,105.4003,0.062,-0.3207,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C208,2,79,5.6312,2328.5728,101.3699,12125.2315,105.5697,0.5438,-0.5014,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C209,1,80,5.4804,2334.6589,101.6348,11801.0009,102.7467,0.7378,-0.7132,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C209,2,81,5.606,2382.1312,103.7015,12254.2156,106.6927,0.5569,-0.5518,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C210,1,82,5.8193,1207.194,106.1081,6342.8474,111.5027,-1.1348,-0.1797,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C210,2,83,4.6431,1145.1149,100.6515,4864.4245,85.5131,0.7909,-0.054,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C211,1,84,5.5513,1152.114,101.2667,5839.6189,102.6563,0.606,-0.2136,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C211,2,85,5.7507,1120.4659,98.485,5903.3084,103.776,0.1633,-0.325,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C212,1,86,7.4052,525.846,107.0204,3477.2237,128.6702,0.9228,-0.5956,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C212,2,87,6.8198,512.7607,104.3573,3160.0385,116.9332,0.3699,-0.7889,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C213,1,88,5.604,3975.4933,101.8598,20734.1189,106.2496,0.3437,-0.5058,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C213,2,89,5.7084,3903.6765,100.0197,20692.2336,106.035,0.178,-0.0777,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C214,1,90,6.0438,7981.4176,104.0892,44681.8532,116.5431,0.8432,-1.3358,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C214,2,91,5.9808,7836.5667,102.2001,43469.2069,113.3802,0.5161,-0.4884,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C215,1,92,5.9966,7913.2527,103.2002,43899.0519,114.5014,0.8312,-0.3879,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C215,2,93,6.1388,8082.448,105.4068,45400.3943,118.4173,0.6185,-1.6594,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C216,1,94,6.0879,7892.5594,102.9303,44639.195,116.4319,0.6191,-1.0393,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C216,2,95,6.1424,7901.0797,103.0415,44598.028,116.3245,0.2591,-0.272,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C217,1,96,5.5803,7829.2629,102.1049,40547.2118,105.7588,0.7164,-0.3924,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C217,2,97,6.0261,7955.8558,103.7558,44192.3928,115.2665,0.6269,-1.431,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C218,1,98,5.4254,517.6297,105.3482,2528.9871,102.9401,0.2386,-0.1614,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C218,2,99,5.7493,485.0686,98.7214,2540.2969,103.4005,-0.0914,0.21,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C219,1,100,7.5139,573.3182,116.682,3781.6877,139.9365,0.5428,-0.6969,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C219,2,101,7.1798,504.5444,102.6851,3239.5285,119.8746,0.0983,-1.0519,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C220,1,102,7.3214,557.4942,113.4615,3613.2759,133.7047,0.7608,-0.8128,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C220,2,103,7.0059,519.7599,105.7818,3274.9039,121.1836,0.4601,-0.7046,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C221,1,104,5.3918,471.3747,95.9344,2306.8636,93.8988,0.2401,-0.0352,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C221,2,105,5.4844,470.7661,95.8105,2350.5872,95.6785,0.2721,-0.0577,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C222,1,106,5.2826,481.4169,97.9782,2313.6186,94.1738,0.8209,-0.0218,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C222,2,107,5.1695,487.8074,99.2788,2297.8902,93.5335,0.7851,-0.0011,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C223,1,108,5.44,494.1979,100.5794,2440.4237,99.3352,0.5701,0.052,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C223,2,109,5.2842,491.1548,99.9601,2368.9051,96.4241,0.4786,0.0644,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C224,1,110,5.4994,480.1997,97.7305,2402.6342,97.7971,0.1297,0.108,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C224,2,111,5.5271,486.2858,98.9691,2432.1415,98.9981,0.1143,0.0428,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C225,1,112,5.1881,478.9824,97.4827,2281.9554,92.8849,0.3041,0.1351,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C225,2,113,5.1529,492.372,100.2078,2289.0063,93.1719,0.3554,-0.1318,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C226,1,114,5.27,474.7221,96.6157,2297.0541,93.4995,0.2566,0.1443,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C226,2,115,5.3353,480.8083,97.8543,2337.0419,95.1272,0.1321,0.0662,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C227,1,116,5.4291,473.8092,96.4299,2335.7131,95.0731,0.2866,-0.1486,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C227,2,117,5.2676,489.9376,99.7123,2319.0359,94.3943,0.1465,-0.0722,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C228,1,118,7.5703,576.057,117.2394,3796.0445,140.4678,0.2483,-1.0898,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C228,2,119,7.1902,519.7599,105.7818,3314.1856,122.6372,0.4273,-0.8718,Good
1,19-02-14 21:09:21,NNTMRT0T18ND,0,NNTMRT0T18ND,C229,1,120,6.1724,490.5462,99.8362,2775.9981,112.9945,-0.4134,0.3221,Good
